driver_id,vehicle_class,max_load_kg,vehicle_type,total_requests,accepted_requests,rating,status,last_break_hours,hazmat_capable,harmful_substance_capable
D0000,카고,3500,카고,63,48,4.23,1,9.5,0,0
D0001,카고,2500,카고,56,45,4.4,1,7.4,0,0
D0002,카고,5500,냉장,146,48,4.25,1,1.1,0,0
D0003,카고,30000,카고,70,35,3.79,1,7.9,0,0
D0004,카고,1000,냉동,123,86,4.26,1,9.9,0,0
D0005,카고,25000,냉장,89,72,4.8,1,1.4,0,0
D0006,라보,550,라보,152,82,4.22,1,1.7,0,0
D0007,카고,8000,탑차,129,62,4.51,0,8.5,0,1
D0008,카고,1400,탑차,147,99,3.9,1,11.5,1,0
D0009,카고,5500,카고,123,112,3.72,1,2.4,1,1
D0010,카고,1000,카고,145,113,3.58,1,3.9,1,0
D0011,카고,8000,카고,196,64,4.65,1,2.1,0,0
D0012,카고,3500,탑차,193,157,4.57,1,9.0,0,0
D0013,카고,3500,탑차,104,93,3.91,1,6.9,0,1
D0014,카고,25000,냉동,77,62,4.4,1,1.3,0,0
D0015,다마스,550,다마스,134,99,4.64,1,11.5,0,0
D0016,카고,30000,카고,189,168,4.65,1,4.9,1,0
D0017,라보,550,라보,136,130,4.47,1,1.5,0,0
D0018,카고,1000,탑차,186,133,4.09,1,2.0,0,0
D0019,카고,18000,탑차,120,43,4.21,1,10.6,0,0
D0020,카고,8000,카고,150,79,4.46,0,7.0,0,0
D0021,다마스,550,다마스,126,86,4.11,1,5.0,0,0
D0022,카고,5500,탑차,85,76,3.7,0,4.0,1,0
D0023,카고,1400,탑차,61,35,4.37,0,8.7,1,0
D0024,카고,8000,냉동,99,29,4.21,1,8.3,0,0
D0025,카고,5500,카고,56,52,4.4,1,10.6,0,0
D0026,카고,1400,카고,120,83,3.89,0,2.6,0,0
D0027,다마스,550,다마스,132,101,4.42,0,8.9,0,0
D0028,카고,25000,카고,111,40,3.61,1,10.7,0,0
D0029,카고,8000,카고,104,58,3.7,1,6.7,0,0
D0030,카고,25000,카고,140,91,4.85,1,12.0,0,0
D0031,카고,25000,냉동,89,26,3.77,1,6.0,0,0
D0032,카고,2500,카고,66,55,4.09,1,5.7,1,1
D0033,카고,2500,카고,194,87,3.55,1,9.0,0,1
D0034,카고,1400,탑차,130,103,3.68,0,10.7,0,0
D0035,카고,1000,윙바디,65,38,4.69,1,3.0,0,0
D0036,카고,30000,냉장,199,121,4.15,0,0.7,0,0
D0037,카고,12000,탑차,119,66,3.6,1,7.4,0,0
D0038,라보,550,라보,84,59,4.75,0,1.1,0,0
D0039,카고,2500,탑차,129,63,4.26,1,3.4,1,0
D0040,다마스,550,다마스,56,29,4.1,1,1.6,0,0
D0041,카고,25000,윙바디,179,99,3.58,1,2.0,0,0
D0042,카고,2500,카고,105,47,3.67,1,4.7,0,0
D0043,카고,30000,냉동,184,130,4.62,1,1.4,0,0
D0044,카고,1000,냉동,87,41,3.82,1,10.3,0,0
D0045,다마스,550,다마스,137,88,4.3,1,6.7,0,0
D0046,카고,30000,카고,53,19,3.74,1,2.8,1,0
D0047,카고,30000,카고,131,48,4.24,1,11.1,0,1
D0048,카고,30000,탑차,149,104,3.55,1,0.7,1,0
D0049,카고,18000,윙바디,136,114,4.01,1,6.8,1,1
D0050,카고,1000,탑차,141,42,4.11,1,10.8,0,1
D0051,다마스,550,다마스,81,73,4.37,1,11.1,0,0
D0052,카고,2500,탑차,172,102,3.98,1,3.9,0,0
D0053,라보,550,라보,118,104,4.49,1,8.5,0,0
D0054,카고,18000,냉장,106,49,3.97,1,3.3,0,0
D0055,라보,550,라보,59,37,4.89,1,0.9,0,0
D0056,카고,30000,윙바디,146,112,4.56,1,11.4,0,0
D0057,카고,5500,윙바디,101,92,3.68,0,2.4,0,0
D0058,다마스,550,다마스,145,75,4.8,1,3.4,0,0
D0059,다마스,550,다마스,64,55,4.48,1,4.6,0,0
D0060,카고,3500,탑차,63,32,4.3,1,4.9,1,0
D0061,카고,18000,카고,85,77,4.86,1,4.3,0,0
D0062,카고,2500,탑차,159,54,3.52,1,7.8,0,0
D0063,카고,1000,냉동,129,47,4.79,0,1.8,0,0
D0064,카고,5500,탑차,70,41,4.83,1,9.0,1,1
D0065,카고,30000,냉동,197,60,3.88,1,7.6,0,0
D0066,라보,550,라보,71,51,4.78,1,8.1,0,0
D0067,카고,30000,탑차,64,62,3.52,1,5.3,0,0
D0068,카고,8000,탑차,125,46,4.34,1,9.6,1,0
D0069,카고,8000,카고,185,165,4.3,1,2.0,0,0
D0070,카고,5500,윙바디,54,39,4.91,1,3.4,0,1
D0071,카고,12000,탑차,103,82,3.77,1,8.2,0,0
D0072,카고,3500,카고,66,44,4.24,1,1.8,0,0
D0073,카고,25000,냉장,150,139,4.19,1,2.7,0,0
D0074,다마스,550,다마스,198,104,4.78,1,10.0,0,0
D0075,카고,30000,윙바디,57,35,4.42,1,2.2,0,0
D0076,카고,25000,탑차,161,74,3.95,1,10.8,0,0
D0077,카고,12000,카고,107,70,4.42,1,10.3,1,0
D0078,카고,25000,카고,186,167,3.96,1,0.8,0,0
D0079,라보,550,라보,185,141,3.66,1,5.7,0,0
D0080,카고,2500,탑차,115,64,3.85,1,1.3,0,0
D0081,카고,12000,냉동,161,76,4.89,1,11.0,0,0
D0082,카고,3500,카고,65,30,4.7,1,5.0,0,0
D0083,카고,1400,윙바디,140,113,3.53,1,4.8,0,0
D0084,카고,8000,카고,166,161,4.88,1,10.7,0,0
D0085,카고,2500,카고,51,31,4.07,1,11.8,0,0
D0086,카고,30000,윙바디,144,64,4.45,1,5.7,1,0
D0087,카고,2500,윙바디,192,93,4.44,0,10.0,1,0
D0088,카고,2500,탑차,56,24,4.06,1,8.5,1,0
D0089,다마스,550,다마스,117,63,4.21,1,1.6,0,0
D0090,카고,25000,냉장,88,28,4.45,1,3.7,0,0
D0091,카고,5500,카고,191,124,4.05,1,8.2,0,0
D0092,카고,12000,윙바디,104,40,3.82,1,2.6,0,0
D0093,카고,1400,탑차,151,57,4.74,0,7.1,0,0
D0094,카고,8000,냉동,70,68,3.7,1,4.2,0,0
D0095,카고,3500,탑차,81,69,4.92,1,5.1,0,0
D0096,카고,2500,카고,120,71,4.7,1,4.4,0,0
D0097,라보,550,라보,98,72,3.64,1,7.3,0,0
D0098,라보,550,라보,85,31,4.72,0,11.5,0,0
D0099,카고,30000,카고,94,41,4.64,1,1.9,0,0
D0100,카고,18000,카고,92,68,3.51,1,7.9,0,0
D0101,카고,18000,탑차,63,52,3.66,1,5.3,1,0
D0102,카고,1000,탑차,102,51,4.0,1,3.0,0,0
D0103,라보,550,라보,153,117,4.92,1,10.9,0,0
D0104,카고,8000,카고,148,129,4.68,0,1.8,1,0
D0105,카고,1000,윙바디,81,56,4.01,1,7.6,0,0
D0106,카고,1000,윙바디,130,39,4.98,1,6.6,0,1
D0107,카고,5500,냉장,106,104,4.07,1,9.9,0,0
D0108,카고,2500,카고,109,89,4.69,1,0.8,1,0
D0109,카고,8000,탑차,194,71,3.76,1,6.3,1,0
D0110,카고,25000,카고,74,59,3.59,1,10.4,0,0
D0111,카고,12000,탑차,78,53,3.68,1,4.3,0,0
D0112,카고,2500,카고,105,53,3.88,0,3.6,0,0
D0113,카고,1000,카고,166,141,4.65,1,2.7,0,1
D0114,카고,5500,탑차,55,26,4.57,1,10.6,1,0
D0115,카고,2500,카고,98,93,3.97,1,9.0,0,0
D0116,카고,30000,탑차,129,55,4.0,1,7.9,1,0
D0117,카고,12000,카고,67,46,3.52,1,4.9,0,0
D0118,다마스,550,다마스,69,47,4.57,1,0.6,0,0
D0119,카고,18000,윙바디,146,86,4.64,1,4.8,0,0
D0120,라보,550,라보,112,61,4.59,1,2.7,0,0
D0121,카고,8000,윙바디,115,110,4.35,1,9.9,0,1
D0122,다마스,550,다마스,71,59,3.8,1,9.5,0,0
D0123,다마스,550,다마스,57,26,4.39,1,10.7,0,0
D0124,카고,30000,카고,131,51,4.11,1,11.3,1,0
D0125,카고,25000,카고,53,38,3.53,1,11.3,0,0
D0126,카고,30000,카고,130,119,3.68,1,11.5,0,1
D0127,카고,1000,냉동,134,127,3.58,1,9.9,0,0
D0128,카고,5500,탑차,62,61,4.1,0,11.2,0,0
D0129,카고,18000,냉동,97,90,4.87,1,1.7,0,0
D0130,카고,12000,냉장,127,93,4.78,1,9.4,0,0
D0131,카고,18000,탑차,159,72,3.64,1,4.3,0,0
